
0, -25053200791836671210.5909123107883143,        0     0          -1023           10230
13.478, -25053200791836671210.5909123107883143,        1023     1023           1023          17711023
13.929, -25053200791836671210.5909123107883143,        869     869           0           1228869
13.977, -25053200791836671210.5909123107883143,        738     738           0           1043738
14.024, -25053200791836671210.5909123107883143,        627     627           -511          1023627
14.081, -25053200791836671210.5909123107883143,        532     532           -694           1023532
14.129, -25053200791836671210.5909123107883143,        452     452           -799           1023452
14.178, -25053200791836671210.5909123107883143,        384     384           -867           1023384
14.232, -25053200791836671210.5909123107883143,        326     326           -914           1023326
14.281, -25053200791836671210.5909123107883143,        277     277           -946           1023277
14.332, -25053200791836671210.5909123107883143,        235     235           -968           1023235
14.381, -25053200791836671210.5909123107883143,        199     199           -984           1023199
14.435, -25053200791836671210.5909123107883143,        169     169           -995           1023169
14.483, -25053200791836671210.5909123107883143,        143     143           -1003           1023143
14.533, -25053200791836671210.5909123107883143,        121     121           -1009          1023121
14.587, -25053200791836671210.5909123107883143,        102     102           -1013           1023102
14.635, -25053200791836671210.5909123107883143,        86     86           -1016           102386
14.683, -25053200791836671210.5909123107883143,        73     73           -1018           102373
14.732, -25053200791836671210.5909123107883143,        62     62           -1020          102362
